clusters	gene_num	chrom	tads_num
293	38	chr16	36
294	62	chr16	43
295	14	chr6	7
296	17	chr6	12
297	58	chr7	44
298	16	chr10	12
299	52	chr7	40
300	8	chr3	8
301	3	chr6	4
302	12	chr3	9
303	26	chr12	17
304	29	chr12	37
305	23	chr19	18
306	17	chr19	11
307	23	chr11	27
308	6	chr13	6
309	18	chr11	18
310	12	chrX	8
311	21	chrX	12
312	13	chr8	15
313	12	chr8	7
314	2	chr13	3
315	3	chr3	4
316	17	chr6	9
317	2	chr11	1
318	14	chr6	5
319	10	chr19	12
320	8	chr19	10
321	17	chr19	10
322	17	chr19	15
323	15	chr12	9
324	18	chr12	4
325	46	chr22	33
326	45	chr22	35
327	17	chr19	11
328	16	chr19	13
329	13	chr6	10
330	20	chr6	5
331	14	chr1	8
332	11	chr1	6
333	11	chr3	7
334	19	chr3	21
335	57	chr19	36
336	17	chr19	6
337	18	chr19	6
338	21	chr17	11
339	25	chr17	31
340	8	chr12	5
341	11	chr12	9
342	17	chrX	8
343	12	chrX	3
344	14	chr6	12
345	13	chr6	9
346	16	chr16	3
347	8	chr11	5
348	11	chr16	9
349	12	chr19	10
350	17	chr19	18
351	16	chr16	9
352	22	chr16	23
353	15	chr19	14
354	25	chr19	20
355	16	chr19	12
356	13	chr19	8
357	223	chr10	151
358	199	chr11	168
359	227	chr12	153
360	130	chr13	110
361	131	chr14	96
362	109	chr15	69
363	138	chr16	90
364	201	chr17	141
365	86	chr18	70
366	152	chr19	98
367	516	chr1	346
368	85	chr20	60
369	40	chr21	28
370	56	chr22	40
371	424	chr2	266
372	263	chr3	187
373	126	chr4	93
374	120	chr5	90
375	285	chr6	216
376	183	chr7	115
377	126	chr8	94
378	85	chr9	70
379	114	chrX	46
380	209	chr10	151
381	422	chr11	239
382	362	chr12	211
383	62	chr13	50
384	231	chr14	134
385	244	chr15	162
386	343	chr16	158
387	453	chr17	238
388	69	chr18	64
389	659	chr19	264
390	630	chr1	398
391	224	chr20	135
392	67	chr21	49
393	204	chr22	101
394	303	chr2	243
395	373	chr3	262
396	276	chr4	193
397	376	chr5	247
398	312	chr6	199
399	342	chr7	212
400	245	chr8	179
401	339	chr9	201
402	273	chrX	122
