clusters	gene_num	chrom	loop_num
244	5	chr4	9
245	17	chr8	29
246	19	chr8	16
247	25	chr1	54
248	15	chr3	12
249	16	chr1	49
250	19	chr3	19
251	31	chr19	15
252	21	chr12	21
253	14	chr18	10
254	14	chr1	37
255	21	chr1	39
256	22	chr17	9
257	15	chr17	7
258	17	chrX	13
259	19	chrX	17
260	78	chr16	48
261	56	chr16	21
262	9	chr13	14
263	13	chr3	18
264	10	chr3	13
265	30	chr17	19
266	39	chr17	31
267	13	chr1	35
268	92	chr22	55
269	27	chr19	28
270	2	chr20	1
271	11	chr19	7
272	4	chr13	1
273	9	chr3	19
274	9	chr3	12
275	40	chr17	36
276	31	chr17	6
277	4	chr15	3
278	6	chr19	6
279	9	chr19	4
280	13	chr12	14
281	3	chr18	6
282	12	chr12	17
283	17	chr19	10
284	13	chr5	9
285	9	chr5	9
286	14	chr1	29
287	24	chr1	44
288	15	chr11	15
289	2	chr18	4
290	12	chr11	13
291	14	chr19	8
292	22	chr19	7
293	38	chr16	43
294	62	chr16	50
295	14	chr6	7
296	17	chr6	24
297	58	chr7	63
298	16	chr10	20
299	52	chr7	63
300	8	chr3	10
301	3	chr6	5
302	12	chr3	19
303	26	chr12	31
304	29	chr12	36
305	23	chr19	12
306	17	chr19	8
307	23	chr11	17
308	6	chr13	8
309	18	chr11	9
310	12	chrX	10
311	21	chrX	22
312	13	chr8	9
313	12	chr8	8
314	2	chr13	5
315	3	chr3	8
316	17	chr6	18
317	2	chr11	4
318	14	chr6	16
319	10	chr19	13
320	8	chr19	11
321	17	chr19	6
322	17	chr19	12
323	15	chr12	13
324	18	chr12	3
325	46	chr22	26
326	45	chr22	28
327	17	chr19	10
328	16	chr19	8
329	13	chr6	6
330	20	chr6	9
331	14	chr1	31
332	11	chr1	34
333	11	chr3	9
334	19	chr3	22
335	57	chr19	25
336	17	chr19	7
337	18	chr19	8
338	21	chr17	4
339	25	chr17	15
340	8	chr12	9
341	11	chr12	8
342	17	chrX	10
343	12	chrX	2
344	14	chr6	15
345	13	chr6	11
346	16	chr16	2
347	8	chr11	2
348	11	chr16	8
349	12	chr19	6
350	17	chr19	8
351	16	chr16	10
352	22	chr16	19
353	15	chr19	8
354	25	chr19	13
355	16	chr19	4
356	13	chr19	4
357	223	chr10	180
358	199	chr11	195
359	227	chr12	180
360	130	chr13	123
361	131	chr14	113
362	109	chr15	67
363	138	chr16	101
364	201	chr17	121
365	86	chr18	73
366	152	chr19	73
367	516	chr1	416
368	85	chr20	67
369	40	chr21	26
370	56	chr22	47
371	424	chr2	304
372	263	chr3	210
373	126	chr4	115
374	120	chr5	101
375	285	chr6	257
376	183	chr7	154
377	126	chr8	137
378	85	chr9	94
379	114	chrX	76
380	209	chr10	183
381	422	chr11	238
382	362	chr12	232
383	62	chr13	60
384	231	chr14	151
385	244	chr15	134
386	343	chr16	150
387	453	chr17	214
388	69	chr18	71
389	659	chr19	192
390	630	chr1	450
391	224	chr20	146
392	67	chr21	47
393	204	chr22	89
394	303	chr2	285
395	373	chr3	277
396	276	chr4	242
397	376	chr5	302
398	312	chr6	248
399	342	chr7	252
400	245	chr8	219
401	339	chr9	196
402	273	chrX	158
