chrom	txStart	txEnd	strand	TF	Bin_1kb	Bin_5kb	Bin_10kb	Bin_25kb	Bin_50kb	Bin_100kb	Bin_250kb	Bin_500kb	Bin_1000kb
chr4	146019155	146050676	+	ABCE1	chr4:146019000	chr4:146015000	chr4:146010000	chr4:146000000	chr4:146000000	chr4:146000000	chr4:146000000	chr4:146000000	chr4:146000000
chr6	30539169	30559309	+	ABCF1	chr6:30539000	chr6:30535000	chr6:30530000	chr6:30525000	chr6:30500000	chr6:30500000	chr6:30500000	chr6:30500000	chr6:30000000
chr7	150904922	150924460	-	ABCF2	chr7:150924000	chr7:150920000	chr7:150920000	chr7:150900000	chr7:150900000	chr7:150900000	chr7:150750000	chr7:150500000	chr7:150000000
chr3	183903862	183911795	+	ABCF3	chr3:183903000	chr3:183900000	chr3:183900000	chr3:183900000	chr3:183900000	chr3:183900000	chr3:183750000	chr3:183500000	chr3:183000000
chr21	43619798	43717354	+	ABCG1	chr21:43619000	chr21:43615000	chr21:43610000	chr21:43600000	chr21:43600000	chr21:43600000	chr21:43500000	chr21:43500000	chr21:43000000
chr3	111697722	111712215	+	ABHD10	chr3:111697000	chr3:111695000	chr3:111690000	chr3:111675000	chr3:111650000	chr3:111600000	chr3:111500000	chr3:111500000	chr3:111000000
chr7	73150424	73153197	-	ABHD11	chr7:73153000	chr7:73150000	chr7:73150000	chr7:73150000	chr7:73150000	chr7:73100000	chr7:73000000	chr7:73000000	chr7:73000000
chr20	25275378	25371618	-	ABHD12	chr20:25371000	chr20:25370000	chr20:25370000	chr20:25350000	chr20:25350000	chr20:25300000	chr20:25250000	chr20:25000000	chr20:25000000
chr13	108870762	108886603	+	ABHD13	chr13:108870000	chr13:108870000	chr13:108870000	chr13:108850000	chr13:108850000	chr13:108800000	chr13:108750000	chr13:108500000	chr13:108000000
chr3	52009041	52015216	+	ABHD14A	chr3:52009000	chr3:52005000	chr3:52000000	chr3:52000000	chr3:52000000	chr3:52000000	chr3:52000000	chr3:52000000	chr3:52000000
chr3	52002525	52008646	-	ABHD14B	chr3:52008000	chr3:52005000	chr3:52000000	chr3:52000000	chr3:52000000	chr3:52000000	chr3:52000000	chr3:52000000	chr3:52000000
chr17	27887688	27894042	-	ABHD15	chr17:27894000	chr17:27890000	chr17:27890000	chr17:27875000	chr17:27850000	chr17:27800000	chr17:27750000	chr17:27500000	chr17:27000000
chr6	31654725	31671137	-	ABHD16A	chr6:31671000	chr6:31670000	chr6:31670000	chr6:31650000	chr6:31650000	chr6:31600000	chr6:31500000	chr6:31500000	chr6:31000000
chr19	1876974	1885518	-	ABHD17A	chr19:1885000	chr19:1885000	chr19:1880000	chr19:1875000	chr19:1850000	chr19:1800000	chr19:1750000	chr19:1500000	chr19:1000000
chr9	74477367	74526161	-	ABHD17B	chr9:74526000	chr9:74525000	chr9:74520000	chr9:74525000	chr9:74500000	chr9:74500000	chr9:74500000	chr9:74500000	chr9:74000000
chr15	80987651	81047962	+	ABHD17C	chr15:80987000	chr15:80985000	chr15:80980000	chr15:80975000	chr15:80950000	chr15:80900000	chr15:80750000	chr15:80500000	chr15:80000000
chr15	89631380	89745591	+	ABHD2	chr15:89631000	chr15:89630000	chr15:89630000	chr15:89625000	chr15:89600000	chr15:89600000	chr15:89500000	chr15:89500000	chr15:89000000
chr18	19230857	19284766	-	ABHD3	chr18:19284000	chr18:19280000	chr18:19280000	chr18:19275000	chr18:19250000	chr18:19200000	chr18:19250000	chr18:19000000	chr18:19000000
chr14	23067146	23081265	+	ABHD4	chr14:23067000	chr14:23065000	chr14:23060000	chr14:23050000	chr14:23050000	chr14:23000000	chr14:23000000	chr14:23000000	chr14:23000000
chr3	43732374	43764217	+	ABHD5	chr3:43732000	chr3:43730000	chr3:43730000	chr3:43725000	chr3:43700000	chr3:43700000	chr3:43500000	chr3:43500000	chr3:43000000
chr3	58223228	58280463	+	ABHD6	chr3:58223000	chr3:58220000	chr3:58220000	chr3:58200000	chr3:58200000	chr3:58200000	chr3:58000000	chr3:58000000	chr3:58000000
chr19	17402939	17414282	-	ABHD8	chr19:17414000	chr19:17410000	chr19:17410000	chr19:17400000	chr19:17400000	chr19:17400000	chr19:17250000	chr19:17000000	chr19:17000000
chr10	27035524	27150016	-	ABI1	chr10:27150000	chr10:27150000	chr10:27150000	chr10:27150000	chr10:27150000	chr10:27100000	chr10:27000000	chr10:27000000	chr10:27000000
chr2	204192961	204296896	+	ABI2	chr2:204192000	chr2:204190000	chr2:204190000	chr2:204175000	chr2:204150000	chr2:204100000	chr2:204000000	chr2:204000000	chr2:204000000
chr17	47287588	47300587	+	ABI3	chr17:47287000	chr17:47285000	chr17:47280000	chr17:47275000	chr17:47250000	chr17:47200000	chr17:47250000	chr17:47000000	chr17:47000000
chr9	133589267	133763062	+	ABL1	chr9:133589000	chr9:133585000	chr9:133580000	chr9:133575000	chr9:133550000	chr9:133500000	chr9:133500000	chr9:133500000	chr9:133000000
chr1	179068461	179198819	-	ABL2	chr1:179198000	chr1:179195000	chr1:179190000	chr1:179175000	chr1:179150000	chr1:179100000	chr1:179000000	chr1:179000000	chr1:179000000
chr10	116190868	116527984	-	ABLIM1	chr10:116527000	chr10:116525000	chr10:116520000	chr10:116525000	chr10:116500000	chr10:116500000	chr10:116500000	chr10:116500000	chr10:116000000
chr4	7967036	8160559	-	ABLIM2	chr4:8160000	chr4:8160000	chr4:8160000	chr4:8150000	chr4:8150000	chr4:8100000	chr4:8000000	chr4:8000000	chr4:8000000
chr17	906757	1132974	-	ABR	chr17:1132000	chr17:1130000	chr17:1130000	chr17:1125000	chr17:1100000	chr17:1100000	chr17:1000000	chr17:1000000	chr17:1000000
chr6	139349818	139364439	+	ABRACL	chr6:139349000	chr6:139345000	chr6:139340000	chr6:139325000	chr6:139300000	chr6:139300000	chr6:139250000	chr6:139000000	chr6:139000000
chr6	26597170	26600277	+	ABT1	chr6:26597000	chr6:26595000	chr6:26590000	chr6:26575000	chr6:26550000	chr6:26500000	chr6:26500000	chr6:26500000	chr6:26000000
chr3	127391780	127399769	+	ABTB1	chr3:127391000	chr3:127390000	chr3:127390000	chr3:127375000	chr3:127350000	chr3:127300000	chr3:127250000	chr3:127000000	chr3:127000000
chr11	34172533	34379555	-	ABTB2	chr11:34379000	chr11:34375000	chr11:34370000	chr11:34375000	chr11:34350000	chr11:34300000	chr11:34250000	chr11:34000000	chr11:34000000
chr3	38164200	38178733	-	ACAA1	chr3:38178000	chr3:38175000	chr3:38170000	chr3:38175000	chr3:38150000	chr3:38100000	chr3:38000000	chr3:38000000	chr3:38000000
chr18	47309873	47340251	-	ACAA2	chr18:47340000	chr18:47340000	chr18:47340000	chr18:47325000	chr18:47300000	chr18:47300000	chr18:47250000	chr18:47000000	chr18:47000000
chr17	35441926	35766902	-	ACACA	chr17:35766000	chr17:35765000	chr17:35760000	chr17:35750000	chr17:35750000	chr17:35700000	chr17:35750000	chr17:35500000	chr17:35000000
chr12	112123856	112194911	+	ACAD10	chr12:112123000	chr12:112120000	chr12:112120000	chr12:112100000	chr12:112100000	chr12:112100000	chr12:112000000	chr12:112000000	chr12:112000000
chr3	132276981	132378975	-	ACAD11	chr3:132378000	chr3:132375000	chr3:132370000	chr3:132375000	chr3:132350000	chr3:132300000	chr3:132250000	chr3:132000000	chr3:132000000
chr11	134123433	134135746	+	ACAD8	chr11:134123000	chr11:134120000	chr11:134120000	chr11:134100000	chr11:134100000	chr11:134100000	chr11:134000000	chr11:134000000	chr11:134000000
chr3	128598332	128631957	+	ACAD9	chr3:128598000	chr3:128595000	chr3:128590000	chr3:128575000	chr3:128550000	chr3:128500000	chr3:128500000	chr3:128500000	chr3:128000000
chr1	76190031	76229363	+	ACADM	chr1:76190000	chr1:76190000	chr1:76190000	chr1:76175000	chr1:76150000	chr1:76100000	chr1:76000000	chr1:76000000	chr1:76000000
chr12	121163540	121177811	+	ACADS	chr12:121163000	chr12:121160000	chr12:121160000	chr12:121150000	chr12:121150000	chr12:121100000	chr12:121000000	chr12:121000000	chr12:121000000
chr10	124768428	124817806	+	ACADSB	chr10:124768000	chr10:124765000	chr10:124760000	chr10:124750000	chr10:124750000	chr10:124700000	chr10:124750000	chr10:124500000	chr10:124000000
chr17	7120443	7128586	+	ACADVL	chr17:7120000	chr17:7120000	chr17:7120000	chr17:7100000	chr17:7100000	chr17:7100000	chr17:7000000	chr17:7000000	chr17:7000000
chr17	7239847	7254793	+	ACAP1	chr17:7239000	chr17:7235000	chr17:7230000	chr17:7225000	chr17:7200000	chr17:7200000	chr17:7000000	chr17:7000000	chr17:7000000
chr3	194995464	195163817	-	ACAP2	chr3:195163000	chr3:195160000	chr3:195160000	chr3:195150000	chr3:195150000	chr3:195100000	chr3:195000000	chr3:195000000	chr3:195000000
chr1	1227763	1243269	-	ACAP3	chr1:1243000	chr1:1240000	chr1:1240000	chr1:1225000	chr1:1200000	chr1:1200000	chr1:1000000	chr1:1000000	chr1:1000000
chr11	107992257	108018891	+	ACAT1	chr11:107992000	chr11:107990000	chr11:107990000	chr11:107975000	chr11:107950000	chr11:107900000	chr11:107750000	chr11:107500000	chr11:107000000
chr6	160182988	160200144	+	ACAT2	chr6:160182000	chr6:160180000	chr6:160180000	chr6:160175000	chr6:160150000	chr6:160100000	chr6:160000000	chr6:160000000	chr6:160000000
chr1	226332379	226374423	-	ACBD3	chr1:226374000	chr1:226370000	chr1:226370000	chr1:226350000	chr1:226350000	chr1:226300000	chr1:226250000	chr1:226000000	chr1:226000000
chr17	43209966	43221548	+	ACBD4	chr17:43209000	chr17:43205000	chr17:43200000	chr17:43200000	chr17:43200000	chr17:43200000	chr17:43000000	chr17:43000000	chr17:43000000
chr10	27484142	27531068	-	ACBD5	chr10:27531000	chr10:27530000	chr10:27530000	chr10:27525000	chr10:27500000	chr10:27500000	chr10:27500000	chr10:27500000	chr10:27000000
chr1	180257351	180472022	-	ACBD6	chr1:180472000	chr1:180470000	chr1:180470000	chr1:180450000	chr1:180450000	chr1:180400000	chr1:180250000	chr1:180000000	chr1:180000000
chr10	15117473	15130775	-	ACBD7	chr10:15130000	chr10:15130000	chr10:15130000	chr10:15125000	chr10:15100000	chr10:15100000	chr10:15000000	chr10:15000000	chr10:15000000
chr11	44087728	44105569	+	ACCS	chr11:44087000	chr11:44085000	chr11:44080000	chr11:44075000	chr11:44050000	chr11:44000000	chr11:44000000	chr11:44000000	chr11:44000000
chr16	67691414	67694718	-	ACD	chr16:67694000	chr16:67690000	chr16:67690000	chr16:67675000	chr16:67650000	chr16:67600000	chr16:67500000	chr16:67500000	chr16:67000000
chr9	19408924	19452500	+	ACER2	chr9:19408000	chr9:19405000	chr9:19400000	chr9:19400000	chr9:19400000	chr9:19400000	chr9:19250000	chr9:19000000	chr9:19000000
chr11	76571916	76737841	+	ACER3	chr11:76571000	chr11:76570000	chr11:76570000	chr11:76550000	chr11:76550000	chr11:76500000	chr11:76500000	chr11:76500000	chr11:76000000
chr7	100487614	100493754	-	ACHE	chr7:100493000	chr7:100490000	chr7:100490000	chr7:100475000	chr7:100450000	chr7:100400000	chr7:100250000	chr7:100000000	chr7:100000000
chr14	23527773	23564823	-	ACIN1	chr14:23564000	chr14:23560000	chr14:23560000	chr14:23550000	chr14:23550000	chr14:23500000	chr14:23500000	chr14:23500000	chr14:23000000
chr2	237478379	237490994	+	ACKR3	chr2:237478000	chr2:237475000	chr2:237470000	chr2:237475000	chr2:237450000	chr2:237400000	chr2:237250000	chr2:237000000	chr2:237000000
chr17	40023169	40075275	-	ACLY	chr17:40075000	chr17:40075000	chr17:40070000	chr17:40075000	chr17:40050000	chr17:40000000	chr17:40000000	chr17:40000000	chr17:40000000
chr9	32384600	32450832	+	ACO1	chr9:32384000	chr9:32380000	chr9:32380000	chr9:32375000	chr9:32350000	chr9:32300000	chr9:32250000	chr9:32000000	chr9:32000000
chr22	41865128	41924993	+	ACO2	chr22:41865000	chr22:41865000	chr22:41860000	chr22:41850000	chr22:41850000	chr22:41800000	chr22:41750000	chr22:41500000	chr22:41000000
chr14	74003927	74010498	+	ACOT1	chr14:74003000	chr14:74000000	chr14:74000000	chr14:74000000	chr14:74000000	chr14:74000000	chr14:74000000	chr14:74000000	chr14:74000000
chr6	24667262	24705295	+	ACOT13	chr6:24667000	chr6:24665000	chr6:24660000	chr6:24650000	chr6:24650000	chr6:24600000	chr6:24500000	chr6:24500000	chr6:24000000
chr14	74034323	74042362	+	ACOT2	chr14:74034000	chr14:74030000	chr14:74030000	chr14:74025000	chr14:74000000	chr14:74000000	chr14:74000000	chr14:74000000	chr14:74000000
chr14	74058409	74062470	+	ACOT4	chr14:74058000	chr14:74055000	chr14:74050000	chr14:74050000	chr14:74050000	chr14:74000000	chr14:74000000	chr14:74000000	chr14:74000000
chr1	6324331	6453826	-	ACOT7	chr1:6453000	chr1:6450000	chr1:6450000	chr1:6450000	chr1:6450000	chr1:6400000	chr1:6250000	chr1:6000000	chr1:6000000
chr20	44470359	44486048	-	ACOT8	chr20:44486000	chr20:44485000	chr20:44480000	chr20:44475000	chr20:44450000	chr20:44400000	chr20:44250000	chr20:44000000	chr20:44000000
chrX	23721776	23761407	-	ACOT9	chrX:23761000	chrX:23760000	chrX:23760000	chrX:23750000	chrX:23750000	chrX:23700000	chrX:23750000	chrX:23500000	chrX:23000000
chr17	73937588	73975515	-	ACOX1	chr17:73975000	chr17:73975000	chr17:73970000	chr17:73975000	chr17:73950000	chr17:73900000	chr17:73750000	chr17:73500000	chr17:73000000
chr4	8368008	8442452	-	ACOX3	chr4:8442000	chr4:8440000	chr4:8440000	chr4:8425000	chr4:8400000	chr4:8400000	chr4:8250000	chr4:8000000	chr4:8000000
chr2	111490149	111875799	+	ACOXL	chr2:111490000	chr2:111490000	chr2:111490000	chr2:111475000	chr2:111450000	chr2:111400000	chr2:111250000	chr2:111000000	chr2:111000000
chr2	264868	278282	+	ACP1	chr2:264000	chr2:260000	chr2:260000	chr2:250000	chr2:250000	chr2:200000	chr2:250000	chr2:0	chr2:0
chr11	47260852	47270398	-	ACP2	chr11:47270000	chr11:47270000	chr11:47270000	chr11:47250000	chr11:47250000	chr11:47200000	chr11:47250000	chr11:47000000	chr11:47000000
chr19	11685474	11689823	-	ACP5	chr19:11689000	chr19:11685000	chr19:11680000	chr19:11675000	chr19:11650000	chr19:11600000	chr19:11500000	chr19:11500000	chr19:11000000
chr1	147119167	147142665	-	ACP6	chr1:147142000	chr1:147140000	chr1:147140000	chr1:147125000	chr1:147100000	chr1:147100000	chr1:147000000	chr1:147000000	chr1:147000000
chr3	132036210	132087146	+	ACPP	chr3:132036000	chr3:132035000	chr3:132030000	chr3:132025000	chr3:132000000	chr3:132000000	chr3:132000000	chr3:132000000	chr3:132000000
chr12	6747241	6756580	-	ACRBP	chr12:6756000	chr12:6755000	chr12:6750000	chr12:6750000	chr12:6750000	chr12:6700000	chr12:6750000	chr12:6500000	chr12:6000000
chr15	78463186	78527049	-	ACSBG1	chr15:78527000	chr15:78525000	chr15:78520000	chr15:78525000	chr15:78500000	chr15:78500000	chr15:78500000	chr15:78500000	chr15:78000000
chr17	48503518	48552206	+	ACSF2	chr17:48503000	chr17:48500000	chr17:48500000	chr17:48500000	chr17:48500000	chr17:48500000	chr17:48500000	chr17:48500000	chr17:48000000
chr16	89160216	89222254	+	ACSF3	chr16:89160000	chr16:89160000	chr16:89160000	chr16:89150000	chr16:89150000	chr16:89100000	chr16:89000000	chr16:89000000	chr16:89000000
chr4	185676748	185747268	-	ACSL1	chr4:185747000	chr4:185745000	chr4:185740000	chr4:185725000	chr4:185700000	chr4:185700000	chr4:185500000	chr4:185500000	chr4:185000000
chr2	223725731	223808119	+	ACSL3	chr2:223725000	chr2:223725000	chr2:223720000	chr2:223725000	chr2:223700000	chr2:223700000	chr2:223500000	chr2:223500000	chr2:223000000
chrX	108884558	108976632	-	ACSL4	chrX:108976000	chrX:108975000	chrX:108970000	chrX:108975000	chrX:108950000	chrX:108900000	chrX:108750000	chrX:108500000	chrX:108000000
chr10	114133915	114188138	+	ACSL5	chr10:114133000	chr10:114130000	chr10:114130000	chr10:114125000	chr10:114100000	chr10:114100000	chr10:114000000	chr10:114000000	chr10:114000000
chr16	20775311	20808479	+	ACSM3	chr16:20775000	chr16:20775000	chr16:20770000	chr16:20775000	chr16:20750000	chr16:20700000	chr16:20750000	chr16:20500000	chr16:20000000
chr20	24986865	25038818	-	ACSS1	chr20:25038000	chr20:25035000	chr20:25030000	chr20:25025000	chr20:25000000	chr20:25000000	chr20:25000000	chr20:25000000	chr20:25000000
chr20	33462765	33515769	+	ACSS2	chr20:33462000	chr20:33460000	chr20:33460000	chr20:33450000	chr20:33450000	chr20:33400000	chr20:33250000	chr20:33000000	chr20:33000000
chr10	90694830	90751154	-	ACTA2	chr10:90751000	chr10:90750000	chr10:90750000	chr10:90750000	chr10:90750000	chr10:90700000	chr10:90750000	chr10:90500000	chr10:90000000
chr7	5566778	5570232	-	ACTB	chr7:5570000	chr7:5570000	chr7:5570000	chr7:5550000	chr7:5550000	chr7:5500000	chr7:5500000	chr7:5500000	chr7:5000000
chr17	79476996	79479892	-	ACTG1	chr17:79479000	chr17:79475000	chr17:79470000	chr17:79475000	chr17:79450000	chr17:79400000	chr17:79250000	chr17:79000000	chr17:79000000
chr3	179280667	179306193	+	ACTL6A	chr3:179280000	chr3:179280000	chr3:179280000	chr3:179275000	chr3:179250000	chr3:179200000	chr3:179250000	chr3:179000000	chr3:179000000
chr7	100240725	100254084	-	ACTL6B	chr7:100254000	chr7:100250000	chr7:100250000	chr7:100250000	chr7:100250000	chr7:100200000	chr7:100250000	chr7:100000000	chr7:100000000
chr1	18081807	18153558	+	ACTL8	chr1:18081000	chr1:18080000	chr1:18080000	chr1:18075000	chr1:18050000	chr1:18000000	chr1:18000000	chr1:18000000	chr1:18000000
chr14	69340839	69446083	-	ACTN1	chr14:69446000	chr14:69445000	chr14:69440000	chr14:69425000	chr14:69400000	chr14:69400000	chr14:69250000	chr14:69000000	chr14:69000000
chr19	39138255	39221172	+	ACTN4	chr19:39138000	chr19:39135000	chr19:39130000	chr19:39125000	chr19:39100000	chr19:39100000	chr19:39000000	chr19:39000000	chr19:39000000
chr14	58666832	58702353	+	ACTR10	chr14:58666000	chr14:58665000	chr14:58660000	chr14:58650000	chr14:58650000	chr14:58600000	chr14:58500000	chr14:58500000	chr14:58000000
chr10	104238985	104262512	-	ACTR1A	chr10:104262000	chr10:104260000	chr10:104260000	chr10:104250000	chr10:104250000	chr10:104200000	chr10:104250000	chr10:104000000	chr10:104000000
chr2	98272401	98280561	-	ACTR1B	chr2:98280000	chr2:98280000	chr2:98280000	chr2:98275000	chr2:98250000	chr2:98200000	chr2:98250000	chr2:98000000	chr2:98000000
chr2	65454828	65498390	+	ACTR2	chr2:65454000	chr2:65450000	chr2:65450000	chr2:65450000	chr2:65450000	chr2:65400000	chr2:65250000	chr2:65000000	chr2:65000000
chr2	114647510	114719129	+	ACTR3	chr2:114647000	chr2:114645000	chr2:114640000	chr2:114625000	chr2:114600000	chr2:114600000	chr2:114500000	chr2:114500000	chr2:114000000
chr7	152456833	152552464	+	ACTR3B	chr7:152456000	chr7:152455000	chr7:152450000	chr7:152450000	chr7:152450000	chr7:152400000	chr7:152250000	chr7:152000000	chr7:152000000
chr7	149944300	150020758	-	ACTR3C	chr7:150020000	chr7:150020000	chr7:150020000	chr7:150000000	chr7:150000000	chr7:150000000	chr7:150000000	chr7:150000000	chr7:150000000
chr20	37377096	37401089	+	ACTR5	chr20:37377000	chr20:37375000	chr20:37370000	chr20:37375000	chr20:37350000	chr20:37300000	chr20:37250000	chr20:37000000	chr20:37000000
chr3	53901093	53916229	-	ACTR8	chr3:53916000	chr3:53915000	chr3:53910000	chr3:53900000	chr3:53900000	chr3:53900000	chr3:53750000	chr3:53500000	chr3:53000000
chr3	169484710	169487683	-	ACTRT3	chr3:169487000	chr3:169485000	chr3:169480000	chr3:169475000	chr3:169450000	chr3:169400000	chr3:169250000	chr3:169000000	chr3:169000000
chr12	52345450	52390863	+	ACVR1B	chr12:52345000	chr12:52345000	chr12:52340000	chr12:52325000	chr12:52300000	chr12:52300000	chr12:52250000	chr12:52000000	chr12:52000000
chr2	148602085	148688396	+	ACVR2A	chr2:148602000	chr2:148600000	chr2:148600000	chr2:148600000	chr2:148600000	chr2:148600000	chr2:148500000	chr2:148500000	chr2:148000000
